Cód.,Persona ID,Persona,CUIT/CUIL/CDI,MC Cód.,MC,Tipo Cuenta,Entidad Bursátil
1625,3997,BACS BANCO DE CREDITO Y SECURITIZACION S.A,30707227415,625,BACS BANCO DE CREDITO Y SECURITIZACION S.A,Propia,MtR
60017,25574,BACS ADMINISTRADORA DE ACTIVOS S.A. SOC.GTE. DE FOND.COM. DE I,30660515980,625,BACS BANCO DE CREDITO Y SECURITIZACION S.A,CEL,MtR
1626,3817,BANCO DE GALICIA Y BUENOS AIRES S A U,30500001735,626,BANCO DE GALICIA Y BUENOS AIRES S A U,Propia,MtR
70000,15783,GALICIA ADMINISTRADORA DE FONDOS S A,30517342064,626,BANCO DE GALICIA Y BUENOS AIRES S A U,CEL,MtR
60001,10892,SOUTHERN TRUST SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION S.A. ,33710608909,627,BANCO DE VALORES S A,CEL,MtR
60005,2895,BALANZ SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION S A U,33708123469,627,BANCO DE VALORES S A,CEL,MtR
60008,39064,MEGAINVER  S.A.,30712126457,627,BANCO DE VALORES S A,CEL,MtR
1627,4533,BANCO DE VALORES S A,30576124275,627,BANCO DE VALORES S A,Propia,MtR
60020,17154,SBS ASSET MANAGEMENT S.A.  SOCIEDAD GERENTE DEFONDOS COMUNES E INVERSION-,30710222858,627,BANCO DE VALORES S A,CEL,MtR
88888,13813,DELTA ASSET MANAGEMENT S.A,33709172919,627,BANCO DE VALORES S A,CEL,MtR
95867,13003,INVESTIS ASSET MANAGEMENT S.A.S.G.F.C.I.,30697265410,627,BANCO DE VALORES S A,CEL,MtR
103000,26928,SCHRODER   S A  SOCIEDAD GERENTE  DE FONDOS COMUNES DE INVERSION,30616836869,627,BANCO DE VALORES S A,CEL,MtR
104000,39059,CAPITAL MARKETS ARGENTINA ASSET MANAGEMENT S.A.,30656296840,627,BANCO DE VALORES S A,CEL,MtR
141100,14386,TAVELLI Y CIA S A,30700960222,627,BANCO DE VALORES S A,CEL,MtR
